,n_layer1,n_layer2,dropout_1,dropout_2,act,optim,n_batch,best_val_acc
104,128,512,0.11525101614625305,0.05756649865353292,leakyrelu,sgd,128,0.5076000094413757
105,256,512,0.005314805498475489,0.4844789023910697,leakyrelu,adam,256,0.5080000162124634
106,128,512,0.2764558431824834,0.1046841681352493,leakyrelu,adam,256,0.5214999914169312
107,64,128,0.2588394914536556,0.02579786304313327,relu,rmsprop,256,0.3986999988555908
108,128,512,0.16134500618404155,0.16557869378564172,leakyrelu,adam,64,0.4941999912261963
109,32,64,0.09626140311511587,0.044052625369803367,leakyrelu,adam,256,0.4961000084877014
110,128,512,0.03729190969513856,0.3050285016071079,leakyrelu,sgd,256,0.4611999988555908
111,128,32,0.023486064134472684,0.13795060794387648,leakyrelu,adam,128,0.5175999999046326
112,512,256,0.3023905871363534,0.41842460716702257,relu,adam,256,0.4623999893665314
113,256,512,0.1732273212656117,0.1929913074617016,leakyrelu,rmsprop,256,0.4054999947547913
114,128,512,0.33096026689586183,0.2121564746269309,leakyrelu,adam,64,0.4848000109195709
115,64,128,0.14941748921336362,0.3636820796734548,leakyrelu,adam,256,0.5090000033378601
116,128,512,0.2289865368242249,0.2827842356343733,leakyrelu,sgd,256,0.4704000055789948
117,32,256,0.3656038336640183,0.1513344002467654,relu,adam,128,0.3531999886035919
118,128,512,0.13067399087357662,0.33882874958831244,leakyrelu,adam,256,0.5328999757766724
119,128,64,0.07411414405579572,0.25556364849293434,leakyrelu,rmsprop,256,0.3959000110626221
120,512,32,0.04782081799100843,0.17894088587534435,leakyrelu,adam,64,0.5005000233650208
121,256,512,0.20163694702316085,0.2321487286787669,leakyrelu,adam,256,0.4981000125408173
122,128,512,0.4107386894276061,0.11617590819130448,relu,sgd,256,0.481799989938736
123,128,512,0.088290781952474,0.08644017030534433,leakyrelu,adam,256,0.5424000024795532
124,128,128,0.09113545597367533,0.08683644490637958,leakyrelu,adam,128,0.5273000001907349
125,64,512,0.05833072702024829,0.1324692066246537,leakyrelu,adam,256,0.5022000074386597
126,32,64,0.14140190043449952,0.2182061546509619,leakyrelu,rmsprop,256,0.4259999990463257
127,128,256,0.1848874045809159,0.18654016442868465,relu,adam,64,0.4162999987602234
128,512,32,0.08000261304092696,0.14631259533326987,leakyrelu,adam,256,0.4586000144481659
129,128,512,0.002637123933316138,0.0930350470950645,leakyrelu,sgd,128,0.5070000290870667
